Old_Name,New_Name
JMB,JMB
Asan,Asan
B Takin,B Takin
B takin,B Takin
Banana,KUC Banana
banana,KUC Banana
Betty,Betty Trading
Betty Trading,Betty Trading
Betty trading,Betty Trading
Btakin,B Takin
Centre london,Centre RC london
Centre RC london,Centre RC london
JTS,JTS- Reiti
JTS- Reiti,JTS- Reiti
King Hoilding,King Holding
King hoilding,King Holding
King holding,King Holding
King Holding,King Holding
King holdings,King Holding
Kings holding,King Holding
KUC Banana,KUC Banana
London,Centre RC london
london,Centre RC london
Miriamwa,Miriamwa Str
Miriamwa Str,Miriamwa Str
n/a,n/a
Nems,NEMS
NEMS,NEMS
Punjas,Punjas
Roimwi,Roimwi (Miriamwa)
Roimwi (Miriamwa),Roimwi (Miriamwa)
Romwi,Roimwi (Miriamwa)
San BJ,San BJ
SAN BJ,San BJ
SANBJ,San BJ
Tabwakea,Tabwakea
tabwakea,Tabwakea
Tekoiti - Teoti,Tekoiti - Teoti
Temio,Temio Str
Temio Str,Temio Str
Teoti,Teoti
Triple T,Triple T
Triple T (Tabwakea),Triple T (Tabwakea)
Triple TTT,Triple T
Triple ttt,Triple T
Tripple T,Triple T
Tripple T (tabwakea),Triple T (Tabwakea)
Wishing Star,Wishing Star
Wishing star,Wishing Star
WISHING StR,Wishing Star
Wisihing star,Wishing Star
